Wafer_ID,Yield_Pct,Defect_Density,Temperature_C,Pressure_kPa,Process_Time_Min,Thickness_nm
W00415,67.3016,0.9374,372.439,110.5463,143.6391,558.6896
W00416,95.8979,0.2,344.9786,98.3493,115.0265,495.3784
W00417,73.8606,0.0368,366.2764,108.7506,129.8312,539.7682
W00418,82.6255,1.7076,362.1696,105.1954,129.6891,534.2691
W00419,90.4372,0.3295,349.39,103.2138,114.7747,518.7019
W00420,80.6249,0.1157,367.6012,104.8257,136.586,547.2539
W00421,71.2455,2.2826,372.5914,107.176,138.1737,561.9677
W00422,88.1609,0.1714,352.7378,101.5677,122.1076,512.9858
W00423,98.0162,0.1379,342.275,94.8831,111.5339,501.2995
W00424,89.003,0.0741,355.3115,102.0867,120.1908,505.7539
W00425,91.9873,0.5397,350.5884,102.0933,117.3403,516.6811
W00426,68.8863,1.7038,367.5376,110.3683,142.4964,554.7931
W00427,95.3046,0.0307,346.3115,97.7416,114.8013,508.5059
W00428,90.2752,0.0078,342.8208,95.4802,107.3907,497.5054
W00429,89.0761,0.2337,352.9366,102.2933,112.0764,541.6352
W00430,66.5406,1.5711,366.7048,109.8287,140.8566,554.2494
W00431,68.8907,0.2001,369.6285,111.7829,133.5584,568.1561
W00432,68.1988,0.2248,372.7596,109.7638,138.3958,558.7715
W00433,66.001,0.764,374.1689,108.9408,132.2669,546.2969
W00434,82.0224,0.3541,360.7851,105.7947,134.688,537.1762
W00435,98.1898,0.0131,344.479,97.0634,106.636,484.1787
W00436,71.6745,0.9679,371.1449,112.1946,126.6723,543.1994
W00437,69.6966,1.0204,372.2657,111.8463,126.7096,566.0412
W00438,89.9859,0.1289,344.9007,96.6537,104.5009,512.2448
W00439,92.2311,0.7443,355.2011,103.3172,120.624,520.7642
W00440,98.9857,0.4723,344.7247,95.0929,103.8465,498.911
W00441,102.1485,0.0073,340.8396,97.0331,116.5119,490.5071
W00442,96.8904,0.0591,340.2392,96.0082,115.0044,507.9483
W00443,98.9914,0.2071,343.5086,97.6104,110.3291,512.069
W00444,81.5786,0.6382,361.0972,103.7604,125.0304,540.7696
W00445,70.5108,0.0475,374.4149,108.7374,136.7741,570.4992
W00446,80.4517,1.0202,362.5734,105.4161,132.599,520.5855
W00447,96.2275,0.2875,345.4085,99.8421,111.592,482.7661
W00448,79.6461,0.6223,366.6075,106.5764,131.8246,543.3668
W00449,75.8861,1.0323,360.9499,105.876,125.3271,547.0237
W00450,89.6504,0.2102,349.8118,104.0692,130.8617,519.0497
W00451,96.9189,0.0488,349.7571,96.3076,110.3228,518.4141
W00452,67.0505,0.0372,370.6467,107.9447,141.7868,562.8853
W00453,85.0852,0.2532,364.4171,104.5496,129.2707,532.197
W00454,94.7367,0.0679,346.3649,102.2348,109.4121,490.9556
W00455,76.6324,0.6326,356.0248,105.6333,136.892,532.8958
W00456,71.4339,1.103,369.333,111.6756,136.2433,556.8965
W00457,77.7511,0.3308,360.687,107.4272,127.9155,547.2122
W00458,67.7067,8.9625,371.7848,114.1144,133.6015,541.5657
W00459,78.5845,0.2127,363.9891,106.502,136.5606,534.9547
W00460,79.6912,1.3375,368.502,105.6216,131.2604,538.0818
W00461,62.0237,1.2964,369.642,106.811,124.3808,525.35
W00462,82.3774,0.8007,361.0322,99.8192,118.3114,539.6949
W00463,86.6505,0.2898,351.4323,100.0906,125.2653,514.5681
W00464,83.028,1.2549,357.462,106.4181,130.4687,541.3686
W00465,90.5599,0.734,358.1201,100.1082,120.7399,525.0019
W00466,74.8695,0.2788,366.5009,103.8904,124.5696,538.4529
W00467,96.6272,0.0511,345.6037,99.0447,108.8907,488.8608
W00468,73.1811,0.1773,374.2886,110.6935,141.8578,534.2614
W00469,65.4245,0.1855,373.4325,108.9443,140.7153,558.3727
W00470,88.6244,0.1504,355.1153,102.9572,130.006,512.7882
W00471,95.2416,0.0111,341.6093,98.9428,105.833,504.9137
W00472,97.8152,0.0374,345.5482,99.9327,112.4674,503.2477
W00473,94.4226,0.0788,345.0398,101.3834,110.2387,504.3577
W00474,65.6067,0.081,371.9373,115.1382,140.1399,542.341
W00475,80.9279,0.3411,362.2743,104.9127,134.9626,535.7184
W00476,92.1096,0.4178,360.5616,103.5568,120.5127,524.857
W00477,95.817,0.0713,346.63,99.8359,111.0313,497.7619
W00478,80.5207,0.5407,358.1539,107.005,128.8519,537.6197
W00479,95.2453,0.0431,341.7831,99.8928,108.5854,500.9235
W00480,94.6987,0.0869,349.8893,97.6243,120.1206,512.2696
W00481,100.0053,0.0573,342.8921,96.7914,113.5257,488.5431
W00482,89.9235,0.9041,347.4964,100.5829,124.7981,524.7289
W00483,91.9843,0.2914,351.4601,102.1949,122.5824,518.3455
W00484,98.1248,0.0129,340.5239,100.2234,115.8526,499.2359
W00485,78.7238,0.6203,353.7236,107.6247,127.8295,539.1929
W00486,92.851,0.1117,349.134,100.9706,114.3355,532.57
W00487,99.6379,0.0008,348.2595,100.4264,105.9633,518.6717
W00488,80.8935,1.0123,361.9309,106.9115,133.5401,543.7429
W00489,67.4768,1.405,368.3709,110.3138,138.7356,550.0372
W00490,88.677,0.7138,352.8521,103.23,125.2418,502.8439
W00491,65.2787,0.24,369.599,111.4217,144.9643,556.735
W00492,85.7779,0.5464,354.4298,101.2588,120.7903,517.1133
W00493,88.6348,0.953,352.4649,100.2489,110.78,515.7535
W00494,91.8858,0.0526,347.3085,96.3742,104.6393,511.1279
W00495,100.2132,0.0009,348.8059,96.9535,105.1083,502.2443
W00496,91.9034,0.0689,355.8453,102.6948,119.6403,520.4504
W00497,71.9616,2.0386,375.3375,111.1333,133.6908,552.0985
W00498,66.6695,0.8255,372.5745,109.4159,133.7066,543.1245
W00499,97.8703,0.1399,347.3341,92.5405,103.8132,484.0163
W00500,87.2563,0.1042,350.8103,103.8466,110.1637,523.017
W00501,65.9138,1.5133,369.4903,111.8285,143.2019,562.4289
W00502,93.1383,0.2669,350.5318,97.303,119.0378,499.0924
W00503,88.1814,0.1695,356.5149,98.7389,116.1315,522.1367
W00504,91.4709,0.1248,361.4624,98.3023,122.7898,517.0107
W00505,66.6919,0.0571,368.5002,107.5596,145.0461,568.7431
W00506,64.1903,0.1735,364.6545,107.2952,136.0543,576.32
W00507,69.9688,3.0983,373.4911,105.2619,134.6752,548.2318
W00508,92.2615,0.233,357.1035,100.0183,131.1484,506.0467
W00509,90.8767,0.0799,363.0486,100.6758,116.9295,519.5622
W00510,63.3301,0.8617,367.6157,111.5301,129.6969,547.6135
W00511,93.2111,0.0561,351.9386,100.7177,114.9481,530.3403
W00512,84.6904,0.0973,353.8682,103.5344,123.7084,505.0953
W00513,68.4479,1.3459,375.3981,108.3187,140.5137,546.7078
W00514,95.3729,0.0126,344.8873,97.2942,108.4854,500.0069
W00515,78.3413,0.6901,363.7588,106.6264,128.8682,529.4017
W00516,94.0604,0.0766,347.9807,96.7252,105.1202,502.3199
W00517,71.9888,0.3255,373.3407,106.1513,133.9224,568.3678
W00518,62.6631,4.4668,377.6937,108.9304,143.0231,561.5836
W00519,68.1734,2.1262,376.6423,108.1862,129.9636,540.5772
W00520,90.1822,0.0871,345.0861,103.4678,128.1618,520.3834
W00521,97.5963,0.0379,340.979,99.2184,117.4373,509.6584
W00522,83.136,1.6635,363.1391,110.8967,131.4236,521.8584
W00523,77.2401,0.4047,360.0421,105.0866,129.1136,527.4526
W00524,92.2721,0.3857,352.8669,103.4846,126.3246,510.3834
W00525,90.4806,0.2722,352.5771,103.6013,127.9245,513.7369
W00526,73.2154,4.7644,371.862,113.2662,136.4932,533.5777
W00527,91.0317,0.7979,352.7337,100.2356,132.481,505.8619
W00528,67.814,0.03,377.6111,106.2466,134.911,542.1253
W00529,67.7003,0.0538,373.8371,109.1418,121.4555,551.8783
W00530,93.7477,0.1905,352.9307,100.9427,117.0456,513.2444
W00531,66.5907,2.167,373.8114,113.9731,143.1351,542.6396
W00532,63.9838,1.6487,365.3951,111.3869,141.4731,551.8978
W00533,97.0439,0.0157,344.984,98.8408,117.7403,480.1944
W00534,64.9882,0.6809,375.1937,113.2722,136.9507,540.0196
W00535,95.1293,0.1128,340.3301,96.2489,124.3583,510.1048
W00536,94.9445,0.0746,350.1604,97.0105,125.4484,486.341
W00537,99.5281,0.0514,343.1464,97.7513,103.6954,511.3056
W00538,81.5131,0.6786,362.5161,109.3609,122.5144,534.748
W00539,93.3167,0.0645,343.3114,97.6173,120.0813,500.4258
W00540,94.4331,0.1871,350.4737,96.7379,117.1445,492.708
W00541,86.3357,0.0508,352.017,100.8746,126.7248,527.834
W00542,99.8657,0.4136,338.4696,95.303,113.8264,499.0564
W00543,97.0118,0.0176,337.4691,95.3745,106.4198,511.6629
W00544,92.1485,0.5759,356.8611,101.0051,125.9806,511.6405
W00545,87.4033,0.2084,351.9887,103.4432,119.4684,518.4285
W00546,89.9819,0.256,348.6141,101.6535,125.5841,514.1569
W00547,65.7288,0.7458,370.1134,111.4568,132.4642,552.0166
W00548,99.0207,0.0121,339.1958,96.3308,110.8732,503.0139
W00549,95.2685,0.1781,347.897,95.4799,115.0264,487.8536
W00550,91.9493,0.196,351.5385,104.4867,119.9458,519.5047
W00551,86.3612,0.5551,348.1607,99.6836,124.7166,526.7912
W00552,93.3643,0.0869,347.4969,100.3028,103.1213,495.4586
W00553,87.8926,0.1477,357.6736,106.8395,111.526,495.9254
W00554,68.7463,1.7199,371.625,110.1972,140.6707,555.4898
W00555,84.1404,0.2947,369.2888,103.7585,136.4054,539.5879
W00556,95.0258,0.1416,340.9294,98.8743,107.9606,494.0581
W00557,67.524,0.5455,368.2052,106.5679,130.2015,552.9845
W00558,86.4014,0.5057,353.6647,99.4848,120.5676,508.6362
W00559,86.987,0.1449,354.5276,104.624,119.3414,523.5996
W00560,86.1153,0.0315,358.2368,102.4948,130.8719,515.8704
W00561,64.8466,0.7825,367.7474,108.2849,132.2004,557.9689
W00562,87.514,0.2483,353.0757,104.7807,121.9061,525.2578
W00563,89.7448,0.1817,346.3464,105.2493,112.0064,502.3767
W00564,81.8499,0.5596,362.2043,103.5184,129.2289,537.9676
W00565,91.8267,0.3957,354.95,100.7404,117.4711,511.3908
W00566,83.3324,0.0428,360.7895,105.155,130.2134,548.0967
W00567,68.3538,2.102,370.2759,109.1538,142.6174,546.156
W00568,99.4249,0.1858,347.8388,97.8954,111.9282,513.9278
W00569,66.3914,0.8859,371.2842,110.4769,131.7433,552.6551
W00570,68.6749,1.0671,368.676,109.7987,125.8553,552.5097
W00571,87.8007,0.0734,354.7642,97.1951,127.0054,524.7884
W00572,67.9856,1.6334,372.3661,112.6724,136.326,544.3788
W00573,88.6638,0.291,352.6643,103.9104,124.9073,529.9989
W00574,79.7537,0.499,367.3271,100.7977,115.9773,530.6038
W00575,69.1351,0.2363,368.2495,109.0821,143.8572,553.0528
W00576,67.5091,1.292,365.1492,109.9671,129.4738,552.1396
W00577,87.4201,0.1775,355.4133,98.1488,113.1263,508.0241
W00578,99.8494,0.0004,352.6604,99.0365,113.8211,509.5528
W00579,94.6553,0.0244,341.6981,100.187,109.7879,477.1915
W00580,65.4371,1.4921,369.2124,105.6546,127.6739,560.1073
W00581,64.3795,0.0129,376.7774,105.8976,132.0766,553.2509
W00582,85.8585,0.1115,350.5297,98.6299,106.472,524.869
W00583,69.1677,0.5227,368.3242,111.7889,126.2556,552.1819
W00584,99.0902,0.1036,342.8504,95.2889,109.12,489.4304
W00585,93.2123,0.2331,356.7547,106.7649,115.8398,514.4722
W00586,64.4217,0.8394,371.8246,109.4121,138.5276,546.3069
W00587,79.8198,0.7109,367.4025,105.4007,129.2637,519.2999
W00588,65.5149,2.3768,365.2231,108.312,136.5238,540.9466
W00589,92.3185,0.2825,354.3834,103.9012,126.9519,514.669
W00590,95.3342,0.0271,342.3932,95.0561,117.9162,493.0517
W00591,91.9824,0.1618,349.5062,105.7115,118.2604,542.0735
W00592,87.1313,0.3324,354.0147,103.0437,117.0715,520.2167
W00593,82.0296,0.1018,369.167,109.0733,124.0204,522.8169
W00594,96.3125,0.0035,340.6467,94.9557,112.9276,470.9679
W00595,80.3915,0.405,370.7528,105.5206,127.1962,542.9595
W00596,93.7302,0.1627,356.0931,99.4853,118.2037,506.0432
W00597,91.6404,0.1528,357.0767,103.8245,119.6872,519.1913
W00598,88.0625,0.1122,355.1084,102.9153,117.0526,517.361
W00599,82.2113,0.2734,360.5935,106.0117,126.2353,526.8081
